id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
1247222,2015-02-19,2015-02-19,,Pacific Time (US & Canada),67561,twake63,2015-02-20 03:32:23 UTC,2018-01-13 18:44:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1247222,https://inaturalist-open-data.s3.amazonaws.com/photos/1565679/medium.JPG?1424403193,,,"Under broken concrete chunk under elderberry tree, Sage Hill, NW corner, UCLA campus. Released.",2,0,FALSE,,,34.074304,-118.454896,1,1,,,Los Angeles,California,Batrachoseps nigriventris,Batrachoseps nigriventris,Black-bellied Slender Salamander,Amphibia,27474,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,Hemidactyliinae,,,Batrachoseps,Batrachoseps nigriventris,
1247224,2015-02-19,2015-02-19,,Pacific Time (US & Canada),67561,twake63,2015-02-20 03:35:05 UTC,2018-01-13 18:44:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1247224,https://inaturalist-open-data.s3.amazonaws.com/photos/1565682/medium.JPG?1424403334,,,"Under plywood, Sage Hill, NW corner UCLA campus.",3,0,FALSE,,,34.073712,-118.454955,1,1,,,Los Angeles,California,Sceloporus occidentalis,Sceloporus occidentalis,Western Fence Lizard,Reptilia,36204,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Phrynosomatidae,Sceloporinae,,,Sceloporus,Sceloporus occidentalis,
1279595,Sat Mar 07 2015 13:42:03 GMT-0800 (PST),2015-03-07,2015-03-07 21:42:03 UTC,Pacific Time (US & Canada),34641,steviekgold,2015-03-08 01:05:30 UTC,2018-01-13 18:45:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1279595,https://inaturalist-open-data.s3.amazonaws.com/photos/1604881/medium.jpg?1425776862,,,"Too young to tell age but blended right in with the dirt and leaf litter, completely unmoving. With tail included, it was likely around 8 inches long.",3,0,FALSE,3,"University of California Los Angeles, Los Angeles, CA, US",34.074796,-118.45492,5,5,,,Los Angeles,California,Southern Alligator Lizard,Elgaria multicarinata,Southern Alligator Lizard,Reptilia,32055,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Gerrhonotinae,,,Elgaria,Elgaria multicarinata,
1282631,Sat Mar 07 2015 14:21:33 GMT-0800 (PST),2015-03-07,2015-03-07 22:21:33 UTC,Pacific Time (US & Canada),17630,gregpauly,2015-03-09 03:43:46 UTC,2018-01-13 18:45:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1282631,https://inaturalist-open-data.s3.amazonaws.com/photos/1608338/medium.jpg?1425872657,,,,2,0,FALSE,3,"University of California Los Angeles, Los Angeles, CA, US",34.0736733098,-118.4546391295,5,5,,,Los Angeles,California,Western Skink,Plestiodon skiltonianus,Western Skink,Reptilia,37769,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Scincinae,,,Plestiodon,Plestiodon skiltonianus,
2933197,2016-04-14 7:32:28 AM PDT,2016-04-14,2016-04-14 14:32:28 UTC,Pacific Time (US & Canada),12809,cedric_lee,2016-04-14 15:56:26 UTC,2018-01-13 19:55:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2933197,https://static.inaturalist.org/photos/3361655/medium.jpeg?1460649591,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",34.0758156981,-118.4542278531,12,12,,,Los Angeles,California,shortpod mustard,Hirschfeldia incana,Shortpod Mustard,Plantae,53097,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,Brassiceae,,Hirschfeldia,Hirschfeldia incana,
2933200,2016-04-14 7:34:42 AM PDT,2016-04-14,2016-04-14 14:34:42 UTC,Pacific Time (US & Canada),12809,cedric_lee,2016-04-14 15:56:29 UTC,2019-02-03 19:11:46 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2933200,https://static.inaturalist.org/photos/3361659/medium.jpeg?1460649610,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",34.075719,-118.454209,17,17,,,Los Angeles,California,Chinese elm,Ulmus parvifolia,Chinese elm,Plantae,79462,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Ulmaceae,,,,Ulmus,Ulmus parvifolia,
2933201,2016-04-14 7:36:01 AM PDT,2016-04-14,2016-04-14 14:36:01 UTC,Pacific Time (US & Canada),12809,cedric_lee,2016-04-14 15:56:30 UTC,2018-01-13 19:55:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2933201,https://static.inaturalist.org/photos/3361661/medium.jpeg?1460649616,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",34.0758168348,-118.4542605862,8,8,,,Los Angeles,California,Seven-spotted Ladybird,Coccinella septempunctata,Seven-spotted Lady Beetle,Insecta,51702,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,,Coccinella,Coccinella septempunctata,
2933202,2016-04-14 7:36:26 AM PDT,2016-04-14,2016-04-14 14:36:26 UTC,Pacific Time (US & Canada),12809,cedric_lee,2016-04-14 15:56:31 UTC,2018-01-13 19:55:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2933202,https://static.inaturalist.org/photos/3361662/medium.jpeg?1460649624,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",34.0757793938,-118.4542720706,8,8,,,Los Angeles,California,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,,Hippodamia,Hippodamia convergens,
2933205,2016-04-14 7:38:56 AM PDT,2016-04-14,2016-04-14 14:38:56 UTC,Pacific Time (US & Canada),12809,cedric_lee,2016-04-14 15:56:34 UTC,2018-01-13 19:55:02 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2933205,https://static.inaturalist.org/photos/3361666/medium.jpeg?1460649696,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",34.075587,-118.454375,27,27,,,Los Angeles,California,California Brittlebush,Encelia californica,California brittlebush,Plantae,64141,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Heliantheae,Enceliinae,Encelia,Encelia californica,
2933206,2016-04-14 7:39:42 AM PDT,2016-04-14,2016-04-14 14:39:42 UTC,Pacific Time (US & Canada),12809,cedric_lee,2016-04-14 15:56:35 UTC,2018-01-13 19:55:02 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2933206,https://static.inaturalist.org/photos/3361667/medium.jpeg?1460649705,,,,0,0,FALSE,2,"Los Angeles County, US-CA, US",34.075693,-118.454225,27,27,,,Los Angeles,California,Arroyo Lupine,Lupinus succulentus,arroyo lupine,Plantae,56759,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,,Lupinus,Lupinus succulentus,
